2023-09-12 20:49:58,342 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Configure stats pid to 2858
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Loading settings from /workspace/1L-Sparse-Autoencoder/wandb/settings
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'autoencoder.py', 'program': '/workspace/1L-Sparse-Autoencoder/autoencoder.py'}
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_init.py:_log_setup():524] Logging user logs to /workspace/1L-Sparse-Autoencoder/wandb/run-20230912_204958-dfz9bnat/logs/debug.log
2023-09-12 20:49:58,343 INFO    MainThread:2858 [wandb_init.py:_log_setup():525] Logging internal logs to /workspace/1L-Sparse-Autoencoder/wandb/run-20230912_204958-dfz9bnat/logs/debug-internal.log
2023-09-12 20:49:58,344 INFO    MainThread:2858 [wandb_init.py:init():564] calling init triggers
2023-09-12 20:49:58,344 INFO    MainThread:2858 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-09-12 20:49:58,344 INFO    MainThread:2858 [wandb_init.py:init():614] starting backend
2023-09-12 20:49:58,344 INFO    MainThread:2858 [wandb_init.py:init():618] setting up manager
2023-09-12 20:49:58,349 INFO    MainThread:2858 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-12 20:49:58,350 INFO    MainThread:2858 [wandb_init.py:init():624] backend started and connected
2023-09-12 20:49:58,366 INFO    MainThread:2858 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-09-12 20:49:58,366 INFO    MainThread:2858 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-12 20:49:58,366 INFO    MainThread:2858 [wandb_init.py:init():715] updated telemetry
2023-09-12 20:49:58,372 INFO    MainThread:2858 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
